Target ID,Target Name,Priority Number,High Priority Start Date,High Priority End Date,Site Center WKT,Site Shape WKT,Number of Desired Observations,Mode,Swath Scale,Scan Direction,Glint Check,Rotate Target,Ascending Centroid WKT,Ascending Polygon WKT,Ascending Along,Ascending Across,Descending Centroid WKT,Descending Polygon WKT,Descending Along,Descending Across
cal001,railroadValley,1,,,POINT(-115.6902 38.497),"POLYGON((-115.6902 38.40691400534001,-115.6902 38.58708460525842,-115.6902 38.58708460525842,-115.6902 38.40691400534001,-115.6902 38.40691400534001))",999,Target Mode,1,0,1,1,POINT(-115.685783 38.499868),"POLYGON((-115.89875 38.068703,-116.265831 38.413109,-115.470253 38.930641,-115.104355 38.583759,-115.89875 38.068703))",90,50,POINT(-115.685784 38.494131),"POLYGON((-116.267136 38.578148,-115.901138 38.924953,-115.105812 38.407246,-115.472992 38.06292,-116.267136 38.578148))",90,50
cal002,calibration_Algeria4,2,,,POINT(5.59 30.04),"POLYGON((5.59 30.04,5.59 30.04,5.59 30.04,5.59 30.04,5.59 30.04))",2,Target Mode,1,0,1,1,POINT(5.593553 30.043273),"POLYGON((5.463469 29.59482,5.08545 29.901453,5.72482 30.491596,6.103103 30.183136,5.463469 29.59482))",90,50,POINT(5.593552 30.036726),"POLYGON((5.084042 30.176607,5.462315 30.485054,6.101615 29.894888,5.723607 29.588268,5.084042 30.176607))",90,50
cal003,calibration_Niger3,12,,,POINT(7.96 21.57),"POLYGON((7.96 21.57,7.96 21.57,7.96 21.57,7.96 21.57,7.96 21.57))",2,Target Mode,1,0,1,1,POINT(7.963037 21.573493),"POLYGON((7.877771 21.117928,7.502481 21.399731,8.048841 22.029015,8.424695 21.745987,7.877771 21.117928))",90,50,POINT(7.963037 21.566507),"POLYGON((7.501394 21.738983,7.877218 22.022026,8.423578 21.392761,8.048319 21.110945,7.501394 21.738983))",90,50
cal004,calibration_Egypt1,13,,,POINT(26.1 27.12),"POLYGON((26.1 27.12,26.1 27.12,26.1 27.12,26.1 27.12,26.1 27.12))",2,Target Mode,1,0,1,1,POINT(26.103344 27.123364),"POLYGON((25.991804 26.671753,25.614075 26.96858,26.215788 27.574886,26.593962 27.276447,25.991804 26.671753))",90,50,POINT(26.103344 27.116636),"POLYGON((25.612764 27.269739,25.990931 27.568163,26.592575 26.961832,26.214853 26.66502,25.612764 27.269739))",90,50
cal005,calibration_Arabia5,14,,,POINT(46.76 18.88),"POLYGON((46.76 18.88,46.76 18.88,46.76 18.88,46.76 18.88,46.76 18.88))",2,Target Mode,1,0,1,1,POINT(46.762923 18.883539),"POLYGON((46.687038 18.426725,46.313301 18.702799,46.839222 19.340321,47.213516 19.063196,46.687038 18.426725))",90,50,POINT(46.762923 18.876461),"POLYGON((46.312374 19.056168,46.686684 19.333252,47.212505 18.695671,46.838745 18.41964,46.312374 19.056168))",90,50
cal006,calibration_Algeria1,15,,,POINT(-0.4 23.8),"POLYGON((-0.4 23.8,-0.4 23.8,-0.4 23.8,-0.4 23.8,-0.4 23.8))",2,Target Mode,1,0,1,1,POINT(-0.396852 23.803447),"POLYGON((-0.491445 23.349211,-0.867899 23.636513,-0.301595 24.257626,0.075403 23.968948,-0.491445 23.349211))",90,50,POINT(-0.396853 23.796553),"POLYGON((-0.869083 23.962053,-0.492107 24.250731,0.07417 23.62962,-0.302263 23.342318,-0.869083 23.962053))",90,50
cal007,calibration_Mauritania1,16,,,POINT(-9.3 19.4),"POLYGON((-9.3 19.4,-9.3 19.4,-9.3 19.4,-9.3 19.4,-9.3 19.4))",2,Target Mode,1,0,1,1,POINT(-9.297056 19.403531),"POLYGON((-9.374619 18.946936,-9.748657 19.224051,-9.219056 19.860094,-8.84446 19.581894,-9.374619 18.946936))",90,50,POINT(-9.297057 19.396469),"POLYGON((-9.74962 19.57486,-9.375021 19.853037,-8.845488 19.216961,-9.219529 18.939867,-9.74962 19.57486))",90,50
cal008,calibration_Libya4,17,,,POINT(23.39 28.55),"POLYGON((23.39 28.55,23.39 28.55,23.39 28.55,23.39 28.55,23.39 28.55))",2,Target Mode,1,0,1,1,POINT(23.393442 28.553322),"POLYGON((23.273298 28.103142,22.895296 28.404593,23.514618 29.003397,23.892988 28.700228,23.273298 28.103142))",90,50,POINT(23.393441 28.546678),"POLYGON((22.893932 28.6936,23.272291 28.996756,23.89155 28.397934,23.513559 28.096493,22.893932 28.6936))",90,50
cal009,calibration_Algeria2,16,,,POINT(-1.38 26.09),"POLYGON((-1.38 26.09,-1.38 26.09,-1.38 26.09,-1.38 26.09,-1.38 26.09))",2,Target Mode,1,0,1,1,POINT(-1.376721 26.093392),"POLYGON((-1.48257 25.640871,-1.859987 25.934563,-1.27005 26.545835,-0.892148 26.250607,-1.48257 25.640871))",90,50,POINT(-1.376722 26.086608),"POLYGON((-1.861262 26.243835,-1.483374 26.539055,-0.893489 25.927767,-1.270892 25.634085,-1.861262 26.243835))",90,50
cal010,calibration_Niger1,18,,,POINT(9.81 19.67),"POLYGON((9.81 19.67,9.81 19.67,9.81 19.67,9.81 19.67,9.81 19.67))",2,Target Mode,1,0,1,1,POINT(9.812954 19.673526),"POLYGON((9.734518 19.217043,9.360311 19.494696,9.891838 20.129974,10.266605 19.851221,9.734518 19.217043))",90,50,POINT(9.812954 19.666474),"POLYGON((9.359331 19.844191,9.734097 20.122927,10.265569 19.487621,9.891363 19.209988,9.359331 19.844191))",90,50
cal011,calibration_Mauritania2,19,,,POINT(-8.78 20.85),"POLYGON((-8.78 20.85,-8.78 20.85,-8.78 20.85,-8.78 20.85,-8.78 20.85))",2,Target Mode,1,0,1,1,POINT(-8.776995 20.853506),"POLYGON((-8.859578 20.397575,-9.234452 20.677763,-8.69391 21.309397,-8.318471 21.028032,-8.859578 20.397575))",90,50,POINT(-8.776996 20.846494),"POLYGON((-9.23549 21.021038,-8.860057 21.302389,-8.319568 20.670732,-8.694437 20.39056,-9.23549 21.021038))",90,50
coccon100,val_Thessaloniki_Greece,2,,,POINT(22.97 40.63),"POLYGON((22.97 40.53994714361965,22.97 40.72005144764703,22.97 40.72005144764703,22.97 40.53994714361965,22.97 40.53994714361965))",4,Target Mode,1,0,1,1,POINT(22.974716 40.632713),"POLYGON((22.73056 40.209278,22.372059 40.565895,23.221985 41.05563,23.57855 40.696392,22.73056 40.209278))",90,50,POINT(22.974716 40.627286),"POLYGON((22.370939 40.691017,22.72753 41.05022,23.577312 40.560417,23.218788 40.203831,22.370939 40.691017))",90,50
coccon101,val_Gobabeb_Namibia,25,,,POINT(15.04 -23.56),"POLYGON((15.03999999999999 -23.6502913724985,15.03999999999999 -23.46970757937232,15.03999999999999 -23.46970757937232,15.03999999999999 -23.6502913724985,15.03999999999999 -23.6502913724985))",2,Target Mode,1,0,1,1,POINT(15.043135 -23.556548),"POLYGON((14.948997 -24.010891,14.572119 -23.72287,15.136623 -23.10215,15.512956 -23.388811,14.948997 -24.010891))",90,50,POINT(15.043135 -23.563452),"POLYGON((14.573298 -23.395697,14.949662 -23.109051,15.514169 -23.729792,15.137257 -24.017797,14.573298 -23.395697))",90,50
coccon102,val_Biust_Botswana,3,,,POINT(27.12 -22.59),"POLYGON((27.12 -22.68030247023841,27.12 -22.4996965150162,27.12 -22.4996965150162,27.12 -22.68030247023841,27.12 -22.68030247023841))",4,Target Mode,1,0,1,1,POINT(27.123085 -22.586527),"POLYGON((27.033178 -23.041477,26.65678 -22.75597,27.2124 -22.131527,27.58824 -22.415741,27.033178 -23.041477))",90,50,POINT(27.123085 -22.593473),"POLYGON((26.657909 -22.422682,27.033772 -22.138474,27.589413 -22.76292,27.212992 -23.048424,26.657909 -22.422682))",90,50
coccon103,val_Jinja_Uganda,4,,,POINT(33.209 0.503),"POLYGON((33.209 0.4125631104551672,33.209 0.593436864378323,33.209 0.593436864378323,33.209 0.4125631104551672,33.209 0.4125631104551672))",4,Target Mode,1,0,1,1,POINT(33.211585 0.506674),"POLYGON((33.16264 0.046835,32.795292 0.305288,33.26054 0.966512,33.627903 0.708034,33.16264 0.046835))",90,50,POINT(33.211585 0.499327),"POLYGON((32.795258 0.700669,33.162613 0.959163,33.627888 0.297959,33.260551 0.039491,32.795258 0.700669))",90,50
coccon104,validation_portovelho,10,,,POINT(-63.87 -8.774),"POLYGON((-63.87 -8.774,-63.87 -8.774,-63.87 -8.774,-63.87 -8.774,-63.87 -8.774))",5,Target Mode,1,0,1,1,POINT(-63.867347 -8.770353),"POLYGON((-63.921741 -9.229658,-64.290863 -8.967184,-63.813087 -8.31104,-63.444279 -8.57305,-63.921741 -9.229658))",90,50,POINT(-63.867347 -8.777647),"POLYGON((-64.290428 -8.580357,-63.921619 -8.318336,-63.443813 -8.974465,-63.812939 -9.23695,-64.290428 -8.580357))",90,50
desert0000,Flat_Desert_Test_0000,26,,,POINT(2.99 30.5),"POLYGON((3.39 30.9,2.59 30.9,2.59 30.1,3.39 30.1,3.39 30.9))",0,Area Mapping Mode,1,0,1,1,POINT(2.993589 30.503257),"POLYGON((2.860192 30.055399,2.482252 30.363724,3.12822 30.950977,3.506385 30.640787,2.860192 30.055399))",90,50,POINT(2.993589 30.496742),"POLYGON((2.480842 30.634312,2.859013 30.944473,3.504878 30.357172,3.126932 30.048874,2.480842 30.634312))",90,50
desert0001,Flat_Desert_Test_0001,27,,,POINT(24.3 28.4),"POLYGON((24.7 28.8,23.9 28.8,23.9 28,24.7 28,24.7 28.8))",0,Area Mapping Mode,1,0,1,1,POINT(24.303431 28.403327),"POLYGON((24.184235 27.952986,23.806248 28.253933,24.423645 28.853563,24.80201 28.550909,24.184235 27.952986))",90,50,POINT(24.303431 28.396673),"POLYGON((23.804892 28.544275,24.183247 28.846914,24.800575 28.247261,24.422598 27.946327,23.804892 28.544275))",90,50
desert0002,Flat_Desert_Test_0002,28,,,POINT(139.85 -23.99),"POLYGON((140.25 -23.59,139.45 -23.59,139.45 -24.39,140.25 -24.39,140.25 -23.59))",0,Area Mapping Mode,1,0,1,1,POINT(139.853157 -23.986557),"POLYGON((139.757065 -24.440613,139.379974 -24.151451,139.948563 -23.53244,140.325119 -23.820215,139.757065 -24.440613))",90,50,POINT(139.853157 -23.993443),"POLYGON((139.381165 -23.827099,139.757736 -23.539326,140.326355 -24.158339,139.949249 -24.4475,139.381165 -23.827099))",90,50
desert0003,Flat_Desert_Test_0003,29,,,POINT(10 30.84),"POLYGON((10.4 31.24,9.6 31.24,9.6 30.44,10.4 30.44,10.4 31.24))",0,Area Mapping Mode,1,0,1,1,POINT(10.003617 30.843245),"POLYGON((9.867747 30.395834,9.489858 30.705406,10.140759 31.290512,10.518843 30.97905,9.867747 30.395834))",90,50,POINT(10.003616 30.836755),"POLYGON((9.488422 30.972553,9.866474 31.284019,10.517344 30.698925,10.139485 30.389347,9.488422 30.972553))",90,50
desert0004,Flat_Desert_Test_0004,30,,,POINT(30.86 26.13),"POLYGON((31.26 26.53,30.46 26.53,30.46 25.73,31.26 25.73,31.26 26.53))",0,Area Mapping Mode,1,0,1,1,POINT(30.863281 26.133391),"POLYGON((30.757236 25.680899,30.379795 25.974697,30.97015 26.585804,31.348076 26.290466,30.757236 25.680899))",90,50,POINT(30.863281 26.126609),"POLYGON((30.378517 26.283693,30.756428 26.579023,31.346737 25.967909,30.969311 25.674116,30.378517 26.283693))",90,50
desert0005,Flat_Desert_Test_0005,31,,,POINT(121.45 -21.9),"POLYGON((121.85 -21.5,121.05 -21.5,121.05 -22.3,121.85 -22.3,121.85 -21.5))",0,Area Mapping Mode,1,0,1,1,POINT(121.453052 -21.896513),"POLYGON((121.365982 -22.35186,120.989944 -22.068062,121.539574 -21.44112,121.915039 -21.723673,121.365982 -22.35186))",90,50,POINT(121.453052 -21.903486),"POLYGON((120.991043 -21.73064,121.366539 -21.448093,121.916183 -22.075039,121.540123 -22.358833,120.991043 -21.73064))",90,50
desert0006,Flat_Desert_Test_0006,32,,,POINT(7.52 31.89),"POLYGON((7.92 32.29,7.12 32.29,7.12 31.49,7.92 31.49,7.92 32.29))",0,Area Mapping Mode,1,0,1,1,POINT(7.523706 31.893206),"POLYGON((7.379687 31.447309,7.002173 31.760937,7.669126 32.33894,8.046727 32.023338,7.379687 31.447309))",90,50,POINT(7.523705 31.886794),"POLYGON((7.000728 32.016949,7.378322 32.332531,8.045194 31.754503,7.667687 31.440891,7.000728 32.016949))",90,50
desert0007,Flat_Desert_Test_0007,33,,,POINT(125.75 -19.31),"POLYGON((126.15 -18.91,125.35 -18.91,125.35 -19.71,126.15 -19.71,126.15 -18.91))",0,Area Mapping Mode,1,0,1,1,POINT(125.75294 -19.306468),"POLYGON((125.675308 -19.763081,125.300743 -19.485115,125.830139 -18.849823,126.204147 -19.126709,125.675308 -19.763081))",90,50,POINT(125.752939 -19.313533),"POLYGON((125.30172 -19.133747,125.675766 -18.856884,126.205147 -19.492207,125.830544 -19.770149,125.30172 -19.133747))",90,50
desert0008,Flat_Desert_Test_0008,34,,,POINT(-1 31.36),"POLYGON((-0.6 31.76,-1.4 31.76,-1.4 30.96,-0.6 30.96,-0.6 31.76))",0,Area Mapping Mode,1,0,1,1,POINT(-0.99634 31.363226),"POLYGON((-1.136157 30.916542,-1.513896 31.22809,-0.855188 31.809757,-0.477305 31.496279,-1.136157 30.916542))",90,50,POINT(-0.99634 31.356774),"POLYGON((-1.515338 31.489828,-1.13748 31.803305,-0.47882 31.221636,-0.856534 30.910089,-1.515338 31.489828))",90,50
desert0009,Flat_Desert_Test_0009,35,,,POINT(18.84 28.22),"POLYGON((19.24 28.62,18.44 28.62,18.44 27.82,19.24 27.82,19.24 28.62))",0,Area Mapping Mode,1,0,1,1,POINT(18.843418 28.223332),"POLYGON((18.725359 27.772799,18.347385 28.073139,18.962477 28.673763,19.340839 28.371731,18.725359 27.772799))",90,50,POINT(18.843418 28.216668),"POLYGON((18.346024 28.365055,18.724352 28.667097,19.339424 28.066486,18.961483 27.766136,18.346024 28.365055))",90,50
desert0010,Flat_Desert_Test_0010,36,,,POINT(7.3 32.76),"POLYGON((7.7 33.16,6.9 33.16,6.9 32.36,7.7 32.36,7.7 33.16))",0,Area Mapping Mode,1,0,1,1,POINT(7.303783 32.76317),"POLYGON((7.152533 32.318661,6.77551 32.635799,7.456551 33.207497,7.833557 32.888317,7.152533 32.318661))",90,50,POINT(7.303783 32.756829),"POLYGON((6.774058 32.882008,7.151065 33.201164,7.832008 32.629429,7.454985 32.312309,6.774058 32.882008))",90,50
desert0011,Flat_Desert_Test_0011,37,,,POINT(25.56 28.75),"POLYGON((25.96 29.15,25.16 29.15,25.16 28.35,25.96 28.35,25.96 29.15))",0,Area Mapping Mode,1,0,1,1,POINT(25.563456 28.753316),"POLYGON((25.442034 28.303352,25.064014 28.605482,25.68593 29.203169,26.064304 28.899309,25.442034 28.303352))",90,50,POINT(25.563456 28.746684),"POLYGON((25.062653 28.892714,25.441032 29.196547,26.062853 28.598814,25.68483 28.296713,25.062653 28.892714))",90,50
desert0012,Flat_Desert_Test_0012,38,,,POINT(11 31.36),"POLYGON((11.4 31.76,10.6 31.76,10.6 30.96,11.4 30.96,11.4 31.76))",0,Area Mapping Mode,1,0,1,1,POINT(11.00366 31.363226),"POLYGON((10.863843 30.916542,10.486104 31.22809,11.144812 31.809757,11.522695 31.496279,10.863843 30.916542))",90,50,POINT(11.00366 31.356774),"POLYGON((10.484661 31.489828,10.86252 31.803305,11.52118 31.221636,11.143466 30.910089,10.484661 31.489828))",90,50
desert0013,Flat_Desert_Test_0013,39,,,POINT(122.72 -22.11),"POLYGON((123.12 -21.71,122.32 -21.71,122.32 -22.51,123.12 -22.51,123.12 -21.71))",0,Area Mapping Mode,1,0,1,1,POINT(122.723062 -22.106518),"POLYGON((122.635155 -22.561749,122.258995 -22.277445,122.81041 -21.651241,123.185997 -21.934284,122.635155 -22.561749))",90,50,POINT(122.723062 -22.113482),"POLYGON((122.260109 -21.94124,122.635719 -21.658203,123.187149 -22.284416,122.810966 -22.568714,122.260109 -21.94124))",90,50
ecostress_afln,ecostress_afln,349,,,POINT(-4.291142 53.310312),"POLYGON((-4.589940014269018 53.13022712164176,-4.592460099844658 53.48963675338252,-3.989823900155358 53.48963675338252,-3.992343985730997 53.13022712164176,-4.589940014269018 53.13022712164176))",3,Area Mapping Mode,1,0,1,1,POINT(-4.273625 53.320346),"POLYGON((-4.943747 53.090826,-4.956557 53.539915,-3.596319 53.546072,-3.597744 53.096918,-4.943747 53.090826))",90,50,POINT(-4.273625 53.320278),"POLYGON((-4.949496 53.096842,-4.950939 53.545992,-3.590703 53.539858,-3.603495 53.090769,-4.949496 53.096842))",90,50
ecostress_ar_slu,ecostress_ar_slu,310,,,POINT(-66.4598 -33.4648),"POLYGON((-66.67539314436642 -33.64493131982027,-66.67450217929023 -33.28429004710965,-66.24509782070977 -33.28429004710965,-66.24420685563358 -33.64493131982027,-66.67539314436642 -33.64493131982027))",1,Area Mapping Mode,1,0,1,1,POINT(-66.455951 -33.461659),"POLYGON((-66.614914 -33.904774,-66.991333 -33.582642,-66.298607 -33.018345,-65.922081 -33.338383,-66.614914 -33.904774))",90,50,POINT(-66.455951 -33.467941),"POLYGON((-66.989883 -33.34473,-66.613388 -33.024647,-65.920509 -33.588856,-66.296898 -33.911034,-66.989883 -33.34473))",90,50
